⺕	gri
黃熟	wo~ suk
黃熱病	wo~ jit be~
黃熱病毒	wo~ jit be~ duk
黃爪隼	wo~ zau z!n
黃父鬼	wo~ fu #ri
黃片	wo~ pin
黃牌	wo~ pai
黃牛	wo~ ~ru
黃牛木	wo~ ~ru muk
黃牛票	wo~ ~ru piu
黃牛飛	wo~ ~ru fei
黃牛黨	wo~ ~ru do~
黃犬	wo~ hvn
黃狗毛	wo~ gru mou
黃狗頭	wo~ gru tru
黃猄	wo~ ge~
黃玉	wo~ juk
黃瓜	wo~ #a
黃瓜酸	wo~ #a svn
黃疸	wo~ tan
黃疸病	wo~ tan be~
黃痣藪鶥	wo~ zi sru mei
黃癬	wo~ sin
黃白交點	wo~ bak gau dim
黃百鳴	wo~ bak mi~
黃皮	wo~ pei
黃皮樹了哥	wo~ pei sv liu go
黃眉姬鶲	wo~ mei gei ju~
黃眉林雀	wo~ mei lrm z@k
黃眉柳鶯	wo~ mei lru r~
黃眉鵐	wo~ mei mou
黃石	wo~ sek
黃石公	wo~ sek gu~
黃石公三略	wo~ sek gu~ sam l@k
黃石市	wo~ sek si
黃石港	wo~ sek go~
黃石港區	wo~ sek go~ k!i
黃石路	wo~ sek lou
黃禍	wo~ wo
黃禽禽	wo~ krm krm
黃秋生	wo~ cru sr~
黃秋葵	wo~ cru $ri
黃種	wo~ zu~
黃種人	wo~ zu~ jrn
黃竹坑	wo~ zuk ha~
黃竹坑道	wo~ zuk ha~ dou
黃簡	wo~ gan
黃粟	wo~ suk
黃粱一夢	wo~ l@~ jrt mu~
黃粱夢	wo~ l@~ mu~
黃粱美夢	wo~ l@~ mei mu~
黃精	wo~ zi~
黃糖	wo~ to~
黃紋擬啄木鳥	wo~ mrn ji d@k muk niu
黃絲蟻	wo~ si ~ri
黃綠	wo~ luk
黃綠色	wo~ luk sik
黃綠醫生	wo~ luk ji sr~
黃綠鵯	wo~ luk bei
黃羊	wo~ j@~
黃耀明	wo~ jiu mi~
黃耆	wo~ kei
黃肛啄花鳥	wo~ go~ d@k fa niu
黃胸柳鶯	wo~ hu~ lru r~
黃胸織雀	wo~ hu~ zik z@k
黃胸鵐	wo~ hu~ mou
黃腫腳	wo~ zu~ g@k
黃腰太陽鳥	wo~ jiu tai j@~ niu
黃腰柳鶯	wo~ jiu lru r~
黃腰響蜜鴷	wo~ jiu h@~ mrt lit
黃腳三趾鶉	wo~ g@k sam zi c!n
黃腳綠鳩	wo~ g@k luk kru
黃腳銀鷗	wo~ g@k ~rn ru
黃腳雞	wo~ g@k gri
黃腹冠鵯	wo~ fuk gun bei
黃腹啄花鳥	wo~ fuk d@k fa niu
黃腹山雀	wo~ fuk san z@k
黃腹扇尾鶲	wo~ fuk sin mei ju~
黃腹柳鶯	wo~ fuk lru r~
黃腹樹鶯	wo~ fuk sv r~
黃腹花蜜鳥	wo~ fuk fa mrt niu
黃腹角雉	wo~ fuk gok zi
黃腹鶲鶯	wo~ fuk ju~ r~
黃腹鷚	wo~ fuk lru
黃腹鷦鶯	wo~ fuk ziu r~
黃腿漁鴞	wo~ t!i jv hiu
黃膠	wo~ gau
黃膽水	wo~ dam s!i
黃臀鵯	wo~ tvn bei
黃臉	wo~ lim
黃臉婆	wo~ lim po
黃興	wo~ hi~
黃色	wo~ sik
黃色小說	wo~ sik siu svt
黃色書刊	wo~ sik sv hon
黃色架步	wo~ sik ga bou
黃色炸藥	wo~ sik za j@k
黃芪	wo~ kei
黃花	wo~ fa
黃花女	wo~ fa n!i
黃花女兒	wo~ fa n!i ji
黃花姑娘	wo~ fa gu n@~
黃花崗	wo~ fa go~
黃花崗七十二烈士	wo~ fa go~ crt srp ji lit si
黃花崗起義	wo~ fa go~ hei ji
黃花幼女	wo~ fa jru n!i
黃花梨木	wo~ fa lei muk
黃花筒	wo~ fa tu~
黃花閨女	wo~ fa #ri n!i
黃花魚	wo~ fa jv
黃芽白	wo~ ~a bak
黃菊	wo~ guk
黃葦鳽	wo~ wri gin
黃薑	wo~ g@~
黃蜂	wo~ fu~
黃蜂竇	wo~ fu~ dru
黃蜞	wo~ kei
黃蟮	wo~ sin
黃蠟	wo~ lap
黃袍加身	wo~ pou ga srn
黃褐斑	wo~ hot ban
黃褐色	wo~ hot sik
黃豆	wo~ dru
黃貫中	wo~ gun zu~
黃貫其	wo~ gun kei
黃賓虹	wo~ brn hu~
黃赤色	wo~ cek sik
黃連	wo~ lin
黃道	wo~ dou
黃道十二宮	wo~ dou srp ji gu~
黃道吉日	wo~ dou grt jrt
黃遵憲	wo~ z!n hin
黃邊站	wo~ bin zam
黃酒	wo~ zru
黃酮	wo~ tu~
黃酶	wo~ mui
黃醬	wo~ z@~
黃金	wo~ grm
黃金分割	wo~ grm frn got
黃金寶	wo~ grm bou
黃金屋	wo~ grm uk
黃金時代	wo~ grm si doi
黃金時段	wo~ grm si dvn
黃金檔	wo~ grm do~
黃金海岸	wo~ grm hoi ~on
黃金糕	wo~ grm gou
黃金輝	wo~ grm fri
黃金週	wo~ grm zru
黃銅	wo~ tu~
黃鐘毀棄	wo~ zu~ wri hei
黃鐘譭棄瓦釜雷鳴	wo~ zu~ wri hei ~a fu l!i mi~
黃鐵礦	wo~ tit $o~
黃長燁	wo~ c@~ jip
黃陂	wo~ pei
黃陂區	wo~ pei k!i
黃陵	wo~ li~
黃陵縣	wo~ li~ jvn
黃雀	wo~ z@k
黃霑	wo~ zim
黃面婆	wo~ min po
黃頁	wo~ jip
黃頭鶺鴒	wo~ tru zek li~
黃頰山雀	wo~ gap san z@k
黃頰麥雞	wo~ gap mrk gri
黃頷蛇	wo~ hrm se
黃頸啄木鳥	wo~ ge~ d@k muk niu
黃頸擬蠟嘴雀	wo~ ge~ ji lap z!i z@k
黃頸鳳鶥	wo~ ge~ fu~ mei
黃額鴉雀	wo~ ~ak a z@k
黃飛鴻	wo~ fei hu~
黃餅	wo~ be~
黃馬褂	wo~ ma $a
黃驊	wo~ wa
黃驊市	wo~ wa si
黃骨髓	wo~ #rt s!i
黃體	wo~ tri
黃體期	wo~ tri kei
黃體酮	wo~ tri tu~
黃魚	wo~ jv
黃魚車	wo~ jv ce
黃鱔	wo~ sin
黃鴨	wo~ ap
黃鵐	wo~ mou
黃鵬	wo~ pa~
黃鶯	wo~ r~
黃鶴樓	wo~ hok lru
黃鶺鴒	wo~ zik li~
黃鸝	wo~ lei
黃麻	wo~ ma
黃黚黚	wo~ grm grm
黃鼠狼	wo~ sv lo~
黃鼠狼給雞拜年	wo~ sv lo~ krp gri bai nin
黃鼠狼給雞拜年沒安好心	wo~ sv lo~ krp gri bai nin mut on hou srm
黃鼬	wo~ jru
黃龍	wo~ lu~
黃龍病	wo~ lu~ be~
黃龍縣	wo~ lu~ jvn
黄芽白	wo~ ~a bak
黄金海岸	wo~ grm hoi ~on
黇鹿	tim luk
黍鵐	sv mou
黎	lri
黎克特制	lri hak drk zri
黎城	lri si~
黎城縣	lri si~ jvn
黎姿	lri zi
黎川	lri cvn
黎川縣	lri cvn jvn
黎巴嫩	lri ba nvn
黎平	lri pi~
黎平縣	lri pi~ jvn
黎庶	lri sv
黎族	lri zuk
黎明	lri mi~
黎明前的黑暗	lri mi~ cin dik hrk rm
黎明時分	lri mi~ si frn
黎曼	lri man
黎曼幾何	lri man gei ho
黎曼幾何學	lri man gei ho hok
黎曼曲面	lri man kuk min
黎曼空間	lri man hu~ gan
黎曼羅赫定理	lri man lo hak di~ lei
黎曼面	lri man min
黎民	lri mrn
黎瑞恩	lri s!i jrn
黎耀祥	lri jiu c@~
黎黑	lri hrk
黏	nim
黏住	nim zv
黏兒	nim ji
黏合	nim hrp
黏土	nim tou
黏土動畫	nim tou du~ wa
黏度	nim dou
黏性	nim si~
黏涎	nim jin
黏涎子	nim jin zi
黏液	nim jik
黏痰	nim tam
黏稠	nim cru
黏稠度	nim cru dou
黏米	nim mri
黏糊	nim wu
黏糊糊	nim wu wu
黏結	nim git
黏膜	nim mok
黏膠	nim gau
黏菌	nim $rn
黏著	nim z@k
黏著力	nim z@k lik
黏著語	nim z@k jv
黏貼	nim tip
黏附	nim fu
黏附力	nim fu lik
黐	ci
黐埋	ci mai
黐孖筋	ci ma grn
黐家	ci ga
黐湆	ci nrp
黐牙	ci ~a
黐立立	ci lrp lrp
黐筋	ci grn
黐綫	ci sin
黐線	ci sin
黐線佬	ci sin lou
黐總掣	ci zu~ zri
黐纏	ci cin
黐脷根	ci lei grn
黐脷筋	ci lei grn
黐身	ci srn
黐身膏藥	ci srn gou j@k
黐身黐勢	ci srn ci sri
黐頭婆	ci tru po
黐餐	ci can
黐黐哋	ci ci dei
黐黐地	ci ci dei
黑	hrk
黑不溜秋	hrk brt lru cru
黑乎乎	hrk fu fu
黑五類	hrk ~ l!i
黑人	hrk jrn
黑人僧	hrk jrn zr~
黑仔	hrk zri
黑信	hrk s!n
黑兀鷲	hrk ~rt zru
黑冠山雀	hrk gun san z@k
黑冠椋鳥	hrk gun l@~ niu
黑冠長臂猿	hrk gun c@~ bei jvn
黑冠鳽	hrk gun gin
黑冠鵑隼	hrk gun gvn z!n
黑冠黃鵯	hrk gun wo~ bei
黑函	hrk ham
黑加侖子	hrk ga l!n zi
黑加崙	hrk ga l!n
黑匣子	hrk hap zi
黑卷尾	hrk gvn mei
黑叉尾海燕	hrk ca mei hoi jin
黑口黑面	hrk hru hrk min
黑口黑麵	hak hru hak min
黑古勒特	hrk gu lrk drk
黑吃黑	hrk hek hrk
黑名單	hrk mi~ dan
黑呼呼	hrk fu fu
黑咕隆咚	hrk gu lu~ du~
黑哨	hrk sau
黑啄木鳥	hrk d@k muk niu
黑喉噪鶥	hrk hru cou mei
黑喉山雀	hrk hru san z@k
黑喉山鷦鶯	hrk hru san ziu r~
黑喉岩鷚	hrk hru ~am lru
黑喉歌鴝	hrk hru go k!i
黑喉毛角燕	hrk hru mou gok jin
黑喉潛鳥	hrk hru cim niu
黑喉石鵖	hrk hru sek gip
黑喉紅尾鴝	hrk hru hu~ mei k!i
黑喉紅臀鵯	hrk hru hu~ tvn bei
黑喉縫葉鶯	hrk hru fu~ jip r~
黑喉雪雀	hrk hru svt z@k
黑喉鴉雀	hrk hru a z@k
黑嘴	hrk z!i
黑嘴端鳳頭燕鷗	hrk z!i dvn fu~ tru jin ru
黑嘴鬆雞	hrk z!i su~ gri
黑嘴鷗	hrk z!i ru
黑塞哥維那	hrk srk go wri na
黑墨墨	hrk mrk mrk
黑墨屎	hak mrk si
黑壓壓	hrk at at
黑夜	hrk je
黑天半夜	hrk tin bun je
黑奴籲天錄	hrk nou jv tin luk
黑媽媽	hrk ma ma
黑孖孖	hrk ma ma
黑客	hrk hak
黑客帝國	hrk hak dri #ok
黑客文	hrk hak mrn
黑尾地鴉	hrk mei dei a
黑尾塍鷸	hrk mei si~ wrt
黑尾蠟嘴雀	hrk mei lap z!i z@k
黑尾鷗	hrk mei ru
黑尿症	hrk niu zi~
黑山	hrk san
黑山縣	hrk san jvn
黑工	hrk gu~
黑市	hrk si
黑市夫人	hrk si fu jrn
黑帖	hrk tip
黑幕	hrk mok
黑幫	hrk bo~
黑底	hrk dri
黑店	hrk dim
黑影	hrk ji~
黑心	hrk srm
黑忽忽	hrk frt frt
黑戶	hrk wu
黑房	hrk fo~
黑手	hrk sru
黑手黨	hrk sru do~
黑斑	hrk ban
黑斑蚊	hrk ban mrn
黑斑蝗鶯	hrk ban wo~ r~
黑旋風	hrk svn fu~
黑旗軍	hrk kei #rn
黑暗	hrk rm
黑暗時代	hrk rm si doi
黑曜岩	hrk jiu ~am
黑曜石	hrk jiu sek
黑木耳	hrk muk ji
黑板	hrk ban
黑枕燕鷗	hrk zrm jin ru
黑枕王鶲	hrk zrm wo~ ju~
黑枕黃鸝	hrk zrm wo~ lei
黑林鴿	hrk lrm gap
黑枯茗	hrk fu mi~
黑格爾	hrk gak ji
黑桃	hrk tou
黑框	hrk $a~
黑森	hak srm
黑森林	hrk srm lrm
黑森林蛋糕	hrk srm lrm dan gou
黑森森	hrk srm srm
黑椒	hrk ziu
黑槍	hak c@~
黑死病	hrk sei be~
黑比諾	hrk bei nok
黑水	hrk s!i
黑水城	hrk s!i si~
黑水縣	hrk s!i jvn
黑水雞	hrk s!i gri
黑汗王朝	hrk hon wo~ ciu
黑沉沉	hrk crm crm
黑沙海灘	hak sa hoi tan
黑河	hrk ho
黑河地區	hrk ho dei k!i
黑河市	hrk ho si
黑洞	hrk du~
黑洞洞	hrk du~ du~
黑浮鷗	hrk fru ru
黑海	hrk hoi
黑海番鴨	hrk hoi fan ap
黑潮	hrk ciu
黑澤明	hrk zak mi~
黑炭	hrk tan
黑煤	hrk mui
黑煤玉	hrk mui juk
黑熊	hrk hu~
黑燈下火	hrk dr~ ha fo
黑燈瞎火	hrk dr~ hrt fo
黑特	hrk drk
黑狗得食白狗當災	hrk gru drk sik bak gru do~ zoi
黑猩猩	hrk si~ si~
黑琴雞	hrk krm gri
黑痣	hrk zi
黑白	hrk bak
黑白不分	hrk bak brt frn
黑白林鵖	hrk bak lrm gip
黑白無常	hrk bak mou s@~
黑白片	hrk bak pin
黑白電視	hrk bak din si
黑百靈	hrk bak li~
黑皮諾	hrk pei nok
黑盒	hrk hrp
黑眉擬啄木鳥	hrk mei ji d@k muk niu
黑眉柳鶯	hrk mei lru r~
黑眉葦鶯	hrk mei wri r~
黑眉蝮蛇	hrk mei fuk se
黑眉長尾山雀	hrk mei c@~ mei san z@k
黑眉雀鶥	hrk mei z@k mei
黑眉鴉雀	hrk mei a z@k
黑眼圈	hrk ~an hvn
黑眼珠	hrk ~an zv
黑瞇擝	hak mi mr~
黑瞇萌	hak mi mr~
黑瞎子	hrk hrt zi
黑瞎子島	hrk hrt zi dou
黑短腳鵯	hrk dvn g@k bei
黑矮星	hrk ri si~
黑磚窯	hrk zvn jiu
黑社會	hrk se wui
黑社會字頭友	hrk se wui zi tru jru
黑種人	hak zu~ jrn
黑管	hrk gun
黑箱	hrk s@~
黑箱子	hrk s@~ zi
黑箱操作	hrk s@~ cou zok
黑箱車	hrk s@~ ce
黑籍冤魂	hrk zik jvn wrn
黑米	hrk mri
黑糊糊	hrk wu wu
黑糖	hrk to~
黑糯米	hak no mri
黑紗	hrk sa
黑素	hrk sou
黑素瘤	hrk sou lru
黑線鱈	hrk sin svt
黑翅燕鴴	hrk ci jin hr~
黑翅長腳鷸	hrk ci c@~ g@k wrt
黑翅雀鵯	hrk ci z@k bei
黑翅鳶	hrk ci jvn
黑肺病	hrk fri be~
黑背	hrk bui
黑背信天翁	hrk bui s!n tin ju~
黑背燕尾	hrk bui jin mei
黑胡椒	hrk wu ziu
黑胸太陽鳥	hrk hu~ tai j@~ niu
黑胸山鷦鶯	hrk hu~ san ziu r~
黑胸歌鴝	hrk hu~ go k!i
黑胸鶇	hrk hu~ du~
黑胸麻雀	hrk hu~ ma z@k
黑腰濱鷸	hrk jiu brn wrt
黑腳信天翁	hrk g@k s!n tin ju~
黑腹沙雞	hrk fuk sa gri
黑腹濱鷸	hrk fuk brn wrt
黑腹燕鷗	hrk fuk jin ru
黑腹蛇鵜	hrk fuk se tri
黑膠	hrk gau
黑膠綢	hak gau cru
黑臉噪鶥	hrk lim cou mei
黑臉琵鷺	hrk lim pei lou
黑臉鶲鶯	hrk lim ju~ r~
黑色	hrk sik
黑色喜劇	hak sik hei kek
黑色幽默	hrk sik jru mrk
黑色星期五	hak sik si~ kei ~
黑色素	hrk sik sou
黑色金屬	hrk sik grm suk
黑芝麻	hrk zi ma
黑芝麻糊	hrk zi ma wu
黑茶	hrk ca
黑茶藨子	hrk ca biu zi
黑莓	hrk mui
黑莓子	hrk mui zi
黑落德	hrk lok drk
黑葉	hak jip
黑虎拳	hrk fu kvn
黑話	hrk wa
黑豆	hrk dru
黑貂	hrk diu
黑貝	hrk bui
黑貨	hak fo
黑超	hrk ciu
黑車	hrk ce
黑輪	hrk l!n
黑過墨斗	hrk #o mrk dru
黑道	hrk dou
黑道中人	hrk dou zu~ jrn
黑道家族	hrk dou ga zuk
黑醋栗	hrk cou l!t
黑金	hak grm
黑錢	hrk cin
黑長尾雉	hrk c@~ mei zi
黑陶	hrk tou
黑雁	hrk ~an
黑面神	hrk min srn
黑頂噪鶥	hrk de~ cou mei
黑頂奇鶥	hrk de~ kei mei
黑頂蛙口鴟	hrk de~ wa hru ci
黑頂麻雀	hrk de~ ma z@k
黑領噪鶥	hrk li~ cou mei
黑領椋鳥	hrk li~ l@~ niu
黑頦果鳩	hrk hoi #o kru
黑頦穗鶥	hrk hoi s!i mei
黑頭	hrk tru
黑頭噪鴉	hrk tru cou a
黑頭奇鶥	hrk tru kei mei
黑頭白䴉	hrk tru bak wan
黑頭穗鶥	hrk tru s!i mei
黑頭蠟嘴雀	hrk tru lap z!i z@k
黑頭角雉	hrk tru gok zi
黑頭金翅雀	hrk tru grm ci z@k
黑頭鳾	hrk tru si
黑頭鵐	hrk tru mou
黑頭鵯	hrk tru bei
黑頭黃鸝	hrk tru wo~ lei
黑頸長尾雉	hrk ge~ c@~ mei zi
黑頸鶇	hrk ge~ du~
黑頸鶴	hrk ge~ hok
黑頸鷿鷈	hrk ge~ pik tri
黑頸鸕鶿	hrk ge~ lou ci
黑額伯勞	hrk ~ak bak lou
黑額山噪鶥	hrk ~ak san cou mei
黑額樹鵲	hrk ~ak sv z@k
黑額鳳鶥	hrk ~ak fu~ mei
黑馬	hrk ma
黑骨朧東	hrk #rt lu~ du~
黑體	hrk tri
黑體字	hrk tri zi
黑體輻射	hrk tri fuk se
黑髮	hrk fat
黑鬼	hrk #ri
黑魆魆	hrk frt frt
黑魖魖	hrk h!i h!i
黑鯇	hrk wan
黑鳶	hrk jvn
黑鳽	hrk gin
黑鷳	hrk han
黑鸛	hrk gun
黑麥	hrk mrk
黑麵包	hak min bau
黑麻麻	hrk ma ma
黑黑實實	hak hak srt srt
黑點	hrk dim
黑黢黢	hrk z!t z!t
黑鼆鼆	hak mr~ mr~
黑齷	hrk rk
黑龍江	hrk lu~ go~
黑龍江河	hrk lu~ go~ ho
黑龍江省	hrk lu~ go~ sa~
黔	kim
黔南州	kim nam zru
黔南布依族苗族自治州	kim nam bou ji zuk miu zuk zi zi zru
黔東南州	kim du~ nam zru
黔東南苗族侗族自治州	kim du~ nam miu zuk du~ zuk zi zi zru
黔江	kim go~
黔江區	kim go~ k!i
黔西	kim sri
黔西南州	kim sri nam zru
黔西南布依族苗族自治州	kim sri nam bou ji zuk miu zuk zi zi zru
黔西縣	kim sri jvn
黔陽	kim j@~
黔陽縣	kim j@~ jvn
黔首	kim sru
黔驢技窮	kim lou gei ku~
默	mrk
默不作聲	mrk fru zok si~
默克爾	mrk hrk ji
默劇	mrk kek
默哀	mrk oi
默嘆	mrk tan
默坐	mrk zo
默多克	mrk do hrk
默契	mrk kri
默字	mrk zi
默寫	mrk se
默念	mrk nim
默想	mrk s@~
默拉皮	mrk lai pei
默書	mrk sv
默歎	mrk tan
默然	mrk jin
默片	mrk pin
默示	mrk si
默禱	mrk tou
默算	mrk svn
默罕默德	mrk hon mrk drk
默西亞	mrk sri a
默西河	mrk sri ho
默記	mrk gei
默許	mrk h!i
默誌	mrk zi
默認	mrk ji~
默誦佛號	mrk zu~ frt hou
默讀	mrk duk
默默	mrk mrk
默默無聞	mrk mrk mou mrn
黚	kim
黛安娜	doi on na
黛綠	doi luk
黜	zvt
黜退	c!t t!i
黜陟	zvt zik
黝暗	jru rm
黝黑	jru hrk
點	dim
點不知	dim brt zi
點交	dim gau
點亮	dim l@~
點係	dim hri
點做	dim zou
點兒	dim ji
點兒背	dim ji bui
點兵	dim bi~
點出	dim c!t
點到即止	dim dou zik zi
點化	dim fa
點卯	dim mau
點厾	dim duk
點可以	dim ho ji
點名	dim me~
點名冊	dim me~ cak
點名羞辱	dim me~ sru juk
點呀	dim a
點子	dim zi
點子背	dim zi bui
點字	dim zi
點字機	dim zi gei
點射	dim se
點將	dim z@~
點對點	dim d!i dim
點少得	dim siu drk
點得	dim drk
點心	dim srm
點指兵兵	dim zi bi~ bi~
點撥	dim but
點播	dim bo
點擊	dim gik
點擊付費廣告	dim gik fu fri #o~ gou
點擊數	dim gik sou
點擊率	dim gik l!t
點收	dim sru
點數	dim sou
點斑林鴿	dim ban lrm gap
點明	dim mi~
點染	dim jim
點查	dim ca
點樣	dim j@~
點檢	dim gim
點歌	dim go
點止	dim zi
點水	dim s!i
點水不漏	dim s!i brt lru
點津	dim z!n
點滴	dim dik
點滴試驗	dim dik si jim
點火	dim fo
點火開關	dim fo hoi #an
點煙器	dim jin hei
點燃	dim jin
點球	dim kru
點畫	dim wak
點發	dim fat
點睇	dim tri
點睛	dim zi~
點睛之筆	dim zi~ zi brt
點知	dim zi
點石成金	dim sek si~ grm
點破	dim po
點票	dim piu
點積	dim zik
點穴	dim jvt
點穿	dim cvn
點竄	dim cvn
點算	dim svn
點算好	dim svn hou
點算好呢	dim svn hou ne
點紅點綠	dim hu~ dim luk
點綴	dim z!i
點翅朱雀	dim ci zv z@k
點背	dim bui
點胸鴉雀	dim hu~ a z@k
點脈	dim mrk
點菜	dim coi
點號	dim hou
點補	dim bou
點見	dim gin
點視	dim si
點視廳	dim si te~
點解	dim gai
點評	dim pi~
點話點好	dim wa dim hou
點貨	dim fo
點贊	dim zan
點軍	dim #rn
點軍區	dim #rn k!i
點選	dim svn
點都好	dim dou hou
點都要	dim dou jiu
點醒	dim si~
點金成鐵	dim grm si~ tit
點金石	dim grm sek
點鐘	dim zu~
點鐵成金	dim tit si~ grm
點閱率	dim jvt l!t
點陣	dim zrn
點陣字體	dim zrn zi tri
點陣式打印機	dim zrn sik da jrn gei
點陣打印機	dim zrn da jrn gei
點集合	dim zap hrp
點頭	dim tru
點頭咂嘴	dim tru zap z!i
點頭哈腰	dim tru ha jiu
點頭招呼	dim tru ziu fu
點題	dim tri
點香	dim h@~
點鬼火	dim #ri fo
點點	dim dim
點點滴滴	dim dim dik dik
黟縣	ji jvn
黠	hrt
黠吏	kit lei
黠慧	kit wri
黢黑	z!t hrk
黦	jvt
黧黑	lri hrk
黨	do~
黨中央	do~ zu~ j@~
黨主席	do~ zv zik
黨人	do~ jrn
黨代會	do~ doi wui
黨內	do~ noi
黨八股	do~ bat gu
黨務	do~ mou
黨參	do~ srm
黨史	do~ si
黨同伐異	do~ tu~ frt ji
黨員	do~ jvn
黨團	do~ tvn
黨外人士	do~ ~oi jrn si
黨委	do~ wri
黨委書記	do~ wri sv gei
黨徒	do~ tou
黨徽	do~ fri
黨性	do~ si~
黨政	do~ zi~
黨政機關	do~ zi~ gei #an
黨校	do~ hau
黨派	do~ pai
黨派集會	do~ pai zap wui
黨票	do~ piu
黨章	do~ z@~
黨籍	do~ zik
黨紀	do~ gei
黨組	do~ zou
黨綱	do~ go~
黨羽	do~ jv
黨費	do~ fri
黨項	do~ ho~
黨項族	do~ ho~ zuk
黨魁	do~ fui
黨齡	do~ li~
黯	rm
黯淡	rm dam
黯然	rm jin
黯然失色	rm jin srt sik
黯然銷魂	rm jin siu wrn
黲	cam
黴漿菌肺炎	mei z@~ $rn fri jim
黴菌	mei $rn
黵	dam
黷武	duk mou
黸	lou
黿魚	jvn jv
鼉龍	to lu~
鼎	di~
鼎力	di~ lik
鼎力相助	di~ lik s@~ zo
鼎助	di~ zo
鼎城	di~ si~
鼎城區	di~ si~ k!i
鼎峙	di~ ci
鼎新	di~ srn
鼎族	di~ zuk
鼎沸	di~ fri
鼎泰豐	di~ tai fu~
鼎湖	di~ wu
鼎湖區	di~ wu k!i
鼎盛	di~ si~
鼎盛時期	di~ si~ si kei
鼎盛期	di~ si~ kei
鼎立	di~ lap
鼎足	di~ zuk
鼎足之勢	di~ zuk zi sri
鼎鐺玉石	di~ ca~ juk sek
鼎革	di~ gak
鼎食	di~ sik
鼎鼎	di~ di~
鼎鼎大名	di~ di~ dai mi~
鼓	gu
鼓動	gu du~
鼓勵	gu lri
鼓吹	gu c!i
鼓吹者	gu c!i ze
鼓噪	gu cou
鼓埋泡腮	gu mai pau soi
鼓室	gu srt
鼓山	gu san
鼓山區	gu san k!i
鼓手	gu sru
鼓掌	gu z@~
鼓板	gu ban
鼓槌	gu c!i
鼓樓	gu lru
鼓樓區	gu lru k!i
鼓氣	gu hei
鼓氣袋	gu hei doi
鼓浪嶼	gu lo~ jv
鼓皮	gu pei
鼓盆	gu pun
鼓盆之戚	gu pun zi cik
鼓眼睛	gu ~an zi~
鼓篋	gu hap
鼓聲	gu se~
鼓脹	gu z@~
鼓膜	gu mok
鼓舌	gu sit
鼓舞	gu mou
鼓譟	gu cou
鼓起	gu hei
鼓起勇氣	gu hei ju~ hei
鼓起泡腮	gu hei pau soi
鼓風	gu fu~
鼓風機	gu fu~ gei
鼓風爐	gu fu~ lou
鼓點	gu dim
鼓點子	gu dim zi
鼓鼓	gu gu
鼓鼓囊囊	gu gu no~ no~
鼠	sv
鼠入嚟	sv jrp lri
鼠嘢	sv je
鼠型斑疹傷寒	sv ji~ ban crn s@~ hon
鼠婦	sv fu
鼠尾草	sv mei cou
鼠年	sv nin
鼠得克	sv drk hrk
鼠摸	sv mo
鼠標	sv biu
鼠標器	sv biu hei
鼠標墊	sv biu zin
鼠海豚	sv hoi tvn
鼠疫	sv jik
鼠疫桿菌	sv jik gon $rn
鼠疫菌苗	sv jik $rn miu
鼠目寸光	sv muk cvn #o~
鼠竄	sv cvn
鼠竊狗偷	sv sit gru tru
鼠肚雞腸	sv tou gri c@~
鼠膽	sv dam
鼠藥	sv j@k
鼠蚤型斑疹傷寒	sv zou ji~ ban crn s@~ hon
鼠蜘	sv zi
鼠蹊	sv hri
鼠輩	sv bui
鼥	brt
鼩鼱	k!i zi~
鼪	sr~
鼫	sek
鼬屬	jru suk
鼬獾	jru fun
鼬科	jru fo
鼬鯊	jru sa
鼬鼠	jru sv
鼯鼠	~ sv
鼴鼠	jin sv
鼴鼠皮	jin sv pei
鼷鼠	hri sv
鼻	bei
鼻中隔	bei zu~ gak
鼻兒	bei ji
鼻出血	bei c!t hvt
鼻口部分	bei hru bou frn
鼻咽	bei jin
鼻咽癌	bei jin ~am
鼻哥	bei go
鼻哥窿	bei go lu~
鼻塞	bei srk
鼻子	bei zi
鼻孔	bei hu~
鼻尖	bei zim
鼻屎	bei si
鼻屎咁多	bei si grm do
鼻息	bei sik
鼻息肉	bei sik juk
鼻敏感	bei mrn grm
鼻旁竇	bei po~ dru
鼻梁	bei l@~
鼻水	bei s!i
鼻涕	bei tri
鼻涕蟲	bei tri cu~
鼻淵	bei jvn
鼻炎	bei jim
鼻煙	bei jin
鼻煙壺	bei jin wu
鼻煙盒	bei jin hrp
鼻牛兒	bei ~ru ji
鼻甲骨	bei gap #rt
鼻疽	bei z!i
鼻病毒	bei be~ duk
鼻祖	bei zou
鼻竇	bei dru
鼻竇炎	bei dru jim
鼻簫	bei siu
鼻翼	bei jik
鼻腍	bei jrm nrm
鼻腔	bei ho~
鼻血	bei hvt
鼻針療法	bei zrm liu fat
鼻青眼腫	bei ce~ ~an zu~
鼻青臉腫	bei ce~ lim zu~
鼻音	bei jrm
鼻韻母	bei wrn mou
鼻頭	bei tru
鼻飼	bei zi
鼻飼法	bei zi fat
鼻骨	bei #rt
鼻黏膜	bei nim mok
鼻鼾	bei hon
鼻鼾聲	bei hon se~
鼾	hon
鼾聲	hon se~
鼾聲如雷	hon se~ jv l!i
鼾鼾	hon hon
齊	cri
齊一	cri jrt
齊人之福	cri jrn zi fuk
齊備	cri bei
齊全	cri cvn
齊刷刷	cri cat cat
齊名	cri mi~
齊國	cri #ok
齊大非偶	cri dai fei ~ru
齊大非耦	cri dai fei ~ru
齊天大聖	cri tin dai si~
齊奏	cri zru
