#level1
立	lali
端	ladr
童	lats
麟	lalb
耕	lagg
顔	layj
龍	lals
韻	lbyy
聾	lels
競	lejk
新	ljxb
帝	ljdi
親	ljqb
親	ljqk
加	lkjx
商	lkuh
耗	lmhc
麓	lmlu
努	lnnu
妾	lnqp
音	loyb
靖	loqk
脅	loxp
彦	lpyj
彰	lpvh
勢	ltui
塵	ltif
章	luvh
辛	luxb
竜	lvls
竣	lwjy
毅	lyyi
襲	lyxi
棒	mabh
桶	mats
桓	mahr
檀	matj
柚	mayz
類	malw
馴	maxy
柵	mava
柵	mauj
柵	mace
桝	majp
極	maji
構	magz
樺	mahx
盃	mabw
糧	mall
横	mbhg
棋	mbqi
柏	mbbo
柏	mbbd
盆	mbpf
粕	mbpo
糞	mbff
村	mccy
械	mcxp
樽	mczy
柑	mcgj
闘	mciu
梼	mctc
梼	mciz
梼	mcdc
樹	mcuu
模	mdmu
模	mdmo
梅	mdmw
杯	mdbw
梁	mdll
盗	mddc
粉	mdff
染	mdrj
桃	mdtc
朴	mdpu
朴	mdpo
朴	mdpn
渠	mdqu
杓	mduc
杓	mdbn
桁	mdhh
桁	mdhg
檎	mdqb
関	mdgr
柊	mdvs
栴	mdvj
桟	mdvj
棟	mdds
楽	mdlw
楽	mdyt
楽	mdle
様	mdyh
欄	mdlj
柳	melq
榔	melh
聞	mewf
櫛	mevi
校	mfxn
校	mfjn
椎	mfvv
椎	mfiv
楓	mffg
権	mfqr
盛	mgug
盛	mgig
盈	mgyk
栽	mgzd
朽	mgxq
粥	mgvz
樗	mgiu
閥	mgfa
梨	mhli
樵	mhqn
榛	mhvf
騒	misc
机	mjji
断	mjdr
析	mjxi
棉	mjmm
杭	mjhh
柿	mjui
機	mjji
格	mkge
椅	mkyi
枯	mkku
棺	mkgr
桐	mkts
杏	mkxk
梧	mkwu
粘	mkvj
粘	mknm
糖	mkth
橘	mkju
桔	mkju
桔	mkjp
問	mkwf
開	mkkd
閣	mkge
閤	mkhe
閤	mkge
駒	mkju
騎	mkqi
槍	mkql
橋	mkqn
監	mkjm
架	mljx
粒	mlli
駕	mljx
林	mmlb
森	mmsf
閑	mmxm
梱	mmky
櫨	mmlu
根	mngf
楼	mnlz
柄	mnbk
